empresaId:ID(Empresa),cnpj,razao_social
40754393000143,40754393000143,LUIZ AUGUSTO RODRIGUES DE QUEIROZ
04156527000160,04156527000160,VIANATUR VIANA TURISMO LTDA
05646631000449,05646631000449,FRUTAL INDUSTRIA E COMERCIO LTDA
05327035000153,05327035000153,CHR ALUGUEIS DE MAQUINAS E VEICULOS LTDA
25267158000153,25267158000153,PAIVA CONSTRUCOES LTDA
28462253000104,28462253000104,MRF SERVICOS DE ESCRITORIO E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
04449757000118,04449757000118,DISGAL DIST DE GENEROS ALIMENTICIOS DA AMAZONIA LTDA
14199685000151,14199685000151,KINGPEL INDUSTRIA E COMERCIO DE PRODUTOS E ARTIGOS PARA A SAUDE LTDA
09262747000192,09262747000192,A. C. B. LOCADORA DE VEICULOS LTDA
19615240000129,19615240000129,E C DE S BULGARELLI LTDA
13310945000151,13310945000151,SALDANHA COMERCIO DE HORTIFRUTIGRANJEIROS LTDA
09540692000135,09540692000135,BETA BRASIL SERVICOS DE CONSERVACAO E LIMPEZA LTDA
47203547000158,47203547000158,LIDERA EDUCACAO E DESENVOLVIMENTO SOCIAL LTDA
17049910000161,17049910000161,G B SERVICOS DE LIMPEZA EM PREDIOS E EM DOMICILIOS LTDA
29091842000188,29091842000188,K R G TEIXEIRA LTDA
08697631000113,08697631000113,"LC CONSERVACAO, LOGISTICA E COMERCIO LTDA"
07232304000123,07232304000123,CEDEP - CENTRO DE DESENVOLVIMENTO PROFISSIONAL
03588071000145,03588071000145,E L BARBOSA
82845322000104,82845322000104,SOFTPLAN PLANEJAMENTO E SISTEMAS S/A
02441569000118,02441569000118,TUPA IMPORTACOES LTDA
03522387000134,03522387000134,ESMAM - ESCOLA SUPERIOR DA MAGISTRATURA DO AMAZONAS
04804795000141,04804795000141,ASSOCIACAO DOS PROCURADORES DO ESTADO DO AMAZONAS-APEAM
13838159000121,13838159000121,J C DOS SANTOS NASCIMENTO
09577844000174,09577844000174,INSTITUTO DE ESTUDOS DE PROTESTO DE TITULOS DO BRASIL - SECAO AMAZONAS - IEPTB-AM
01084661000105,01084661000105,BREEZE COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA
09210284000115,09210284000115,PREST SERVICE MAO-DE-OBRA LTDA
03264927000127,03264927000127,MANAUS AMBIENTAL S.A.
84664796000177,84664796000177,FUNDACAO TELEVISAO E RADIO CULTURA DO AMAZONAS
09608116000182,09608116000182,ROSINEIDY SOUZA DINIZ
05666943000171,05666943000171,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO AMAZONAS - FAPEAM
04409637000197,04409637000197,INSTITUTO EUVALDO LODI
04986163000146,04986163000146,FUNDACAO AMAZONPREV
33000118000179,33000118000179,TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL
01142138000198,01142138000198,ADVOCACIA VELLOSO
02006782000100,02006782000100,FUNDACAO HOSPITALAR DE DERMATOLOGIA TROPICAL E VENEREOLOGIA ALFREDO DA MATTA - FUHAM
09403813000105,09403813000105,URB TELECOM LTDA
01253690000153,01253690000153,SUPERINTENDENCIA ESTADUAL DE NAVEGACAO PORTO E HIDROVIAS - SNPH
04803904000106,04803904000106,CENTRO DE ENSINO SUPERIOR NILTON LINS
04164794000180,04164794000180,IMPRENSA OFICIAL DO ESTADO DO AMAZONAS - IO
04278057000108,04278057000108,SOCIEDADE AMAZONENSE DE EDUCACAO E CULTURA LTDA - SAMEC.
03817341000142,03817341000142,IME INSTITUTO METROPOLITANO DE ENSINO LTDA
33683111001413,33683111001413,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO)
06343012000103,06343012000103,SAO JORGE SERVICOS DE LIMPEZA E TERCEIRIZACAO LTDA
04234330000100,04234330000100,MENEGATTI SOLUCOES SOFTWARE LTDA
19462211000174,19462211000174,SECRETARIA DE ESTADO DE RELACOES FEDERATIVAS E INTERNACIONAIS
00697295009900,00697295009900,SECRETARIA DE ESTADO DA SAUDE - SUSAM
04312674000182,04312674000182,SECRETARIA MUNICIPAL DE EDUCACAO (SEMED)
18284407000153,18284407000153,CENTRO BRASILEIRO DE PESQUISA EM AVALIACAO E SELECAO E DE PROMOCAO DE EVENTOS - CEBRASPE
02983416000100,02983416000100,NETS DIGITAL SOLUCOES TELECOMUNICACOES LTDA
03439133000157,03439133000157,SERVICE MEDICALL LTDA
37115342000167,37115342000167,MINISTERIO DOS TRANSPORTES
09382790000191,09382790000191,AXES SERVICOS DE COMUNICACAO LTDA
69287639000104,69287639000104,ASSOCIACAO DOS REGISTRADORES IMOBILIARIOS DE SAO PAULO
04966438000180,04966438000180,COMETA COMERCIO E SERVICOS LTDA
07244008000142,07244008000142,EYES NWHERE SISTEMAS INTELIGENTES DE IMAGEM S.A.
19042898000199,19042898000199,E FRAYHA DE FREITAS
04480450000180,04480450000180,CENTRO EDUCACIONAL TECNICO DO ESTADO DO AMAZONAS LTDA
09544532000164,09544532000164,ROYAL TECHNOLOGIES LTDA
04534053000143,04534053000143,FUNDACAO DE MEDICINA TROPICAL * DOUTOR HEITOR VIEIRA DOURADO *
05623469000109,05623469000109,CASA MILITAR
16834893000100,16834893000100,AGENCIA DE DEFESA AGROPECUARIA E FLORESTAL DO ESTADO DO AMAZONAS
04280196000176,04280196000176,UNIVERSIDADE DO ESTADO DO AMAZONAS
03123477000152,03123477000152,ASSOCIACAO DOS NOTARIOS E REGISTRADORES DO ESTADO DO AMAZONAS
04231205000139,04231205000139,JUNTA COMERCIAL DO ESTADO DO AMAZONAS - JUCEA
25080370000107,25080370000107,IST INFORMATICA E TELECOMUNICACAO LTDA
07402200000110,07402200000110,ESGOTEC SERVICOS DE TRANSPORTES LTDA
84503770000147,84503770000147,A. C. R. DE SOUZA & CIA LTDA
13659617000165,13659617000165,AGENCIA AMAZONENSE DE DESENVOLVIMENTO CULTURAL - AADC
28060424000160,28060424000160,RIO DE JANEIRO PROCURADORIA GERAL DO ESTADO
06201403000185,06201403000185,CENTRO DE ESTUDOS JURIDICOS DO AMAZONAS LTDA
04641909000180,04641909000180,PRONTO CONSTRUCOES LTDA.
04603171000166,04603171000166,ORDEM DOS ADVOGADOS DO BRASIL
00697295000105,00697295000105,SECRETARIA DE ESTADO DA SAUDE - SUSAM
05342580000119,05342580000119,UNIVERSIDADE PATATIVA DO ASSARE
06242066000174,06242066000174,UPLEXIS TECNOLOGIA LTDA
04224028000163,04224028000163,DEPARTAMENTO ESTADUAL DE TRANSITO
17698511000121,17698511000121,J DE O VIANA LTDA
03930106000182,03930106000182,CENTRO DE SERVICOS COMPARTILHADOS
06056855000110,06056855000110,LIMPAMAIS SERVICOS DE LIMPEZA LTDA
03399861000182,03399861000182,FUNDACAO NILTON LINS
08723428000174,08723428000174,MAESTRO TECNOLOGIA S.A.
05562326000126,05562326000126,SECRETARIA DE ESTADO DO MEIO AMBIENTE
09406386000100,09406386000100,TAWRUS SEGURANCA E VIGILANCIA LTDA
18084191000182,18084191000182,CONSIGLOG TECNOLOGIA E SOLUCOES LTDA
60555513000190,60555513000190,FUNDACAO CARLOS CHAGAS
05894369000109,05894369000109,J. DE L. E LIMA & CIA LTDA
01615224000170,01615224000170,INVESTCAR VEICULOS LTDA
08017720000171,08017720000171,ASSOCIACAO DO BEM ESTAR SOCIAL - ABES
22156676000101,22156676000101,SECRETARIA DE ESTADO DE ADMINISTRACAO PENITENCIARIA - SEAP
10602740000151,10602740000151,ELEVADORES BRASIL LTDA
13191312000171,13191312000171,CAP NEURON CONSULTORIA E AVALIACAO PSICOLOGICA LTDA
01671187000118,01671187000118,TRIBUNAL REGIONAL DO TRABALHO DA 11 REGIAO
04312377000137,04312377000137,SECRETARIA DE ESTADO DA FAZENDA SEFAZ
03039154000185,03039154000185,ATHENAS SERVICOS DE CONSTRUCOES LTDA
10802564000100,10802564000100,VALDINO JUNIOR DAS CHAGAS VIEIRA COMERCIAL
04378626000197,04378626000197,FUNDACAO UNIVERSIDADE DO AMAZONAS
01721133000110,01721133000110,ASSOCIACAO DOS IDOSOS DA CEILANDIA DF
03360950000115,03360950000115,M L NASCIMENTO LTDA
21496411000190,21496411000190,LIDERAZ CONSULTORIA EM GESTAO E EDUCACAO CORPORATIVA LTDA
09406002000150,09406002000150,"TAWRUS CONSERVACAO,SERVICOS E EQUIPAMENTOS ELETRONICOS LTDA"
04413729000140,04413729000140,CURUPIRA S.A
76535764000143,76535764000143,OI S.A. - EM RECUPERACAO JUDICIAL
29033962000129,29033962000129,DINAMICA SERVICOS EMPRESARIAIS LTDA
02247217000126,02247217000126,ARMASETO COMERCIO E SERVICOS LTDA
41146425000271,41146425000271,AMARR VIGILANCIA PATRIMONIAL LTDA
18720938000141,18720938000141,FUNDACAO DE DESENVOLVIMENTO DA PESQUISA
07527919000187,07527919000187,FACIL SOLUCOES TECNOLOGICAS EM INFORMATICA SA
90180605000102,90180605000102,GENTE SEGURADORA SA
04164616000159,04164616000159,TNL PCS S/A
00785060000167,00785060000167,CENTRO DE COMPRAS DA CIDADE NOVA LTDA
04465383000124,04465383000124,SUP SERVICOS DE CONSTRUCOES E MANUTENCAO LTDA
00689453000177,00689453000177,SEVEN INCORPORADORA LTDA
11978284000101,11978284000101,E. G. DO N. BRAGA E CIA LTDA
05572700000174,05572700000174,MAOSEG SEGURANCA PATRIMONIAL LTDA
04487762000115,04487762000115,ESTACAO HIDROVIARIA DO AMAZONAS S / A
22815112000133,22815112000133,PARADISE TURISMO E PASSAGENS LTDA
13734915000172,13734915000172,E M CUNHA NETO
03552884000185,03552884000185,COMSERVICO LTDA
04281089000162,04281089000162,R M S CONSTRUCOES E COMERCIO LTDA
05764338000133,05764338000133,MARKA REFORMAS LTDA
00355788000159,00355788000159,M ALMEIDA E SILVA DE AZEVEDO
04603197000104,04603197000104,SIND.DAS EMPRESAS DE TRANSP.DE PASSAGEIROS DO EST.DO AM.
08944149000130,08944149000130,S. M. DE LIMA SA
03183937000138,03183937000138,AGENCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM
07637990000112,07637990000112,MANAUS PREVIDENCIA - MANAUSPREV
00873138000103,00873138000103,IMPACT COMUNICACAO VISUAL LTDA
11786832000100,11786832000100,PEDRO GUIMARAES PACHECO
14913119000160,14913119000160,R. B. DO NASCIMENTO FOTOCOPIA
04711418000168,04711418000168,VERA LUCIA ALVES DE OLIVEIRA
13183508000114,13183508000114,"PORTO SERVICOS PROFISSIONAIS,CONSTRUCOES E MANUTENCAO LTDA"
14402379000170,14402379000170,AKO ADMINISTRADORA DE IMOVEIS LTDA
04379426000159,04379426000159,CLUBE DE DIRETORES LOJISTAS DE MANAUS
16455394000102,16455394000102,SHOPPING MANAUS VIA NORTE SPE S.A
22007076000181,22007076000181,ARIANE SAMPAIO MATOS
04614277000165,04614277000165,RICO TAXI AEREO LTDA
04769766000196,04769766000196,ICOTUR TRANSPORTE E TURISMO LTDA
10483635000140,10483635000140,MAP TRANSPORTES AEREOS LTDA
01362266000147,01362266000147,TRANSGLOBAL SERVICOS LTDA
13392705000143,13392705000143,TECWAY SERVICOS E LOCACAO DE EQUIPAMENTOS LTDA
02324940000161,02324940000161,MANAUS AEROTAXI PARTICIPACOES LTDA
84468917000105,84468917000105,LEO RENT A CAR LOCACAO DE AUTOMOVEIS E EQUIPAMENTOS LTDA
10652730000120,10652730000120,MOTOROLA SOLUTIONS LTDA
84496165000196,84496165000196,LIMPAR NAVEGACAO E SERVICOS LTDA
05437528000146,05437528000146,C. B. DE OLIVEIRA
20283712000172,20283712000172,GLOBALSAT DO BRASIL S.A.
17026052000130,17026052000130,OM BOAT LOGISTICA LTDA
63698724000170,63698724000170,NAVEGACAO CIDADE LTDA
04473078000184,04473078000184,R R SERVICOS DE TRANSPORTE E NAVEGACAO LTDA
34549659000113,34549659000113,VIA DIRETA TELECOMUNICACOES VIA SATELITE E INTERNET LTDA
42548035000100,42548035000100,CONCESSIONARIA DOS AEROPORTOS DA AMAZONIA S/A
04984400000130,04984400000130,CTA - CLEITON TAXI AEREO LTDA
03117534000190,03117534000190,BRADOK SOLUCOES CORPORATIVAS LTDA
12586642000101,12586642000101,MISTER ECO WASH SERVICOS AUTOMOTIVOS LTDA
04095806000161,04095806000161,MAXX LIMP SERVICOS DE LIMPEZA E CONSERVACAO LTDA EM RECUPERACAO JUDICIAL
08014539000101,08014539000101,EMOPS CONTROLE AMBIENTAL LTDA
00499328000102,00499328000102,L C F LIMA LTDA
09156679000187,09156679000187,AUTOVEL SERVICOS DE LIMPEZAS ESPECIAIS LTDA
20700064000102,20700064000102,E F EVENTOS LTDA
